elapsed,student_id,gaze,posture,emotion,engagement
0,1,Looking Center,Sitting,Neutral,0
0,2,Looking Center,Sitting,Neutral,0
0,3,Looking Center,Sitting,Neutral,0
1,1,Looking Center,Sitting,Neutral,0
1,2,Looking Center,Sitting,Neutral,0
1,3,Looking Center,Sitting,Neutral,0
2,1,Looking Center,Sitting,Neutral,0
2,2,Looking Center,Sitting,Neutral,0
2,3,Looking Center,Sitting,Neutral,0
3,1,Looking Left Up,Sitting,Neutral,0
3,2,Looking Left Up,Sitting,Neutral,0
3,3,Looking Left Up,Sitting,Neutral,0
4,1,Looking Center,Sitting,Neutral,0
4,2,Looking Center,Sitting,Neutral,0
4,3,Looking Center,Sitting,Neutral,0
5,1,Looking Left Up,Sitting,Neutral,0
5,2,Looking Left Up,Sitting,Neutral,0
5,3,Looking Left Up,Sitting,Neutral,0
6,1,Looking Center,Sitting,Neutral,0
6,2,Looking Center,Sitting,Neutral,0
6,3,Looking Center,Sitting,Neutral,0
7,1,Looking Up,Slouching,Neutral,0
7,2,Looking Up,Slouching,Neutral,0
7,3,Looking Up,Slouching,Neutral,0
8,1,Looking Up,Slouching,Neutral,0
8,2,Looking Up,Slouching,Neutral,0
8,3,Looking Up,Slouching,Neutral,0
9,1,Looking Left Up,Slouching,Neutral,0
9,2,Looking Left Up,Slouching,Neutral,0
9,3,Looking Left Up,Slouching,Neutral,0
10,1,Looking Up,Sitting,Neutral,0
10,2,Looking Up,Sitting,Neutral,0
10,3,Looking Up,Sitting,Neutral,0
11,1,Looking Up,Sitting,Neutral,0
11,2,Looking Up,Sitting,Neutral,0
11,3,Looking Up,Sitting,Neutral,0
12,1,Looking Up,Sitting,Neutral,0
12,2,Looking Up,Sitting,Neutral,0
12,3,Looking Up,Sitting,Neutral,0
13,1,Looking Up,Sitting,Neutral,0
13,2,Looking Up,Sitting,Neutral,0
13,3,Looking Up,Sitting,Neutral,0
14,1,Looking Right Up,Sitting,Happy,0
14,2,Looking Right Up,Sitting,Happy,0
14,3,Looking Right Up,Sitting,Happy,0
15,1,Looking Center,Sitting,Neutral,0
15,2,Looking Center,Sitting,Neutral,0
15,3,Looking Center,Sitting,Neutral,0
16,1,Looking Center,Sitting,Neutral,0
16,2,Looking Center,Sitting,Neutral,0
16,3,Looking Center,Sitting,Neutral,0
17,1,Looking Up,Sitting,Neutral,0
17,2,Looking Up,Sitting,Neutral,0
17,3,Looking Up,Sitting,Neutral,0
18,1,Looking Right Up,Sitting,Neutral,0
18,2,Looking Right Up,Sitting,Neutral,0
18,3,Looking Right Up,Sitting,Neutral,0
19,1,Looking Right Up,Upright,Neutral,0
19,2,Looking Right Up,Upright,Neutral,0
19,3,Looking Right Up,Upright,Neutral,0
20,1,Looking Right Up,Sitting,Neutral,0
20,2,Looking Right Up,Sitting,Neutral,0
20,3,Looking Right Up,Sitting,Neutral,0
21,1,Looking Up,Sitting,Neutral,0
21,2,Looking Up,Sitting,Neutral,0
21,3,Looking Up,Sitting,Neutral,0
22,1,Looking Up,Upright,Neutral,0
22,2,Looking Up,Upright,Neutral,0
22,3,Looking Up,Upright,Neutral,0
23,1,Looking Up,Sitting,Neutral,0
23,2,Looking Up,Sitting,Neutral,0
23,3,Looking Up,Sitting,Neutral,0
24,1,Looking Right Up,Sitting,Neutral,0
24,2,Looking Right Up,Sitting,Neutral,0
24,3,Looking Right Up,Sitting,Neutral,0
